,fecha,Sucursal,precio,cantidad,cliente,Vehiculo
430,6/10/2022,Jatri,$695.78M,90,Rollie,Chevrolet
431,11/26/2021,Jabbercube,$568.57M,5,Grace,Mercury
432,9/7/2021,Edgeify,$6.88B,31,Falkner,Mazda
433,8/10/2021,Meevee,$73.17M,99,Hanson,Mercury
434,10/9/2021,Buzzshare,$17.1B,9,Norton,Chevrolet
435,8/24/2021,Geba,$73.43M,75,Thadeus,Chrysler
436,6/9/2022,Tambee,$862.98M,72,Tomaso,Mercedes-Benz
437,1/9/2022,Oyoba,$17.98B,60,Gunner,Chevrolet
438,2/25/2022,Buzzshare,$1.56B,46,Guillermo,Chevrolet
439,4/7/2022,Tazzy,$1.96B,78,Morry,Infiniti
440,12/4/2021,Riffpedia,$2.71B,22,Valle,Hyundai
441,6/19/2022,Demizz,$29.24M,82,Yancy,Volkswagen
442,4/22/2022,Quinu,$8.89B,91,Jacob,Toyota
443,1/14/2022,Quamba,$1.16B,24,Mark,Ford
444,7/20/2021,Dynabox,$2.41B,33,Herc,Mazda
445,6/8/2022,Zoomzone,$2.5B,35,Emmet,Mitsubishi
446,8/8/2021,Jabbercube,$864.5M,78,Sawyere,Buick
447,8/25/2021,Thoughtworks,$64.41M,21,Felizio,Hyundai
448,9/10/2021,Fivechat,$51.95B,68,Shalom,Isuzu
449,1/1/2022,Gigashots,$2.68B,59,Norby,Pontiac
450,8/16/2021,Blogtag,$3.37B,6,Andreas,Nissan
451,7/30/2021,Rhynoodle,$1.64B,72,Ximenes,Lincoln
452,8/18/2021,Einti,$125.85M,91,Hershel,Pontiac
453,1/12/2022,Innotype,$372.55M,1,Noland,Dodge
454,6/2/2022,Trunyx,$4.06B,48,Rafferty,Ford
455,1/29/2022,Gigashots,,9,Rocky,Pontiac
456,10/29/2021,Topicstorm,$79.68M,72,Gustavus,GMC
457,3/16/2022,Avamm,$781.49M,90,Kermit,Ford
458,1/6/2022,Pixope,$581.41M,26,Justen,Mitsubishi
459,12/23/2021,Chatterbridge,,98,Orton,Ford
460,4/27/2022,Skibox,$257.8M,99,Karim,Toyota
461,3/27/2022,Tagfeed,,30,Son,Chevrolet
462,5/21/2022,Dynazzy,,85,Chip,Cadillac
463,11/15/2021,Podcat,,36,Peder,Lexus
464,7/31/2021,Fatz,$3.49M,44,Trip,Oldsmobile
465,7/23/2021,Yambee,$14.6B,87,Nilson,GMC
466,7/8/2021,Skyvu,$200.51M,90,Francesco,Volvo
467,4/12/2022,Fadeo,$402.84M,94,Carlie,Eagle
468,7/30/2021,Jaxbean,$251.61M,48,Tammie,Eagle
469,2/13/2022,Centimia,$1.73B,40,Sig,Lamborghini
470,7/8/2021,Trudoo,$496.77M,60,Edgardo,Pontiac
471,6/19/2022,Aibox,$47.31M,4,Herrick,Mazda
472,11/13/2021,Tanoodle,$1.29B,9,Thorndike,Ford
473,3/8/2022,Topiczoom,$127.36B,24,Fairlie,Volkswagen
474,2/9/2022,Realcube,$6.3B,80,Harold,Ford
475,4/6/2022,Tambee,$5.84B,100,Jeth,Pontiac
476,12/2/2021,Jaxbean,$555.38M,83,Townie,Kia
477,11/12/2021,Omba,$3.02B,16,Cris,Plymouth
478,3/22/2022,Yamia,$775.3M,16,Fabio,GMC
479,6/1/2022,Wikido,$45.78M,56,Norby,Toyota
480,3/23/2022,Flashspan,$32.29M,26,Chet,Chevrolet
481,2/9/2022,Gigaclub,,18,Winston,Hyundai
482,9/16/2021,LiveZ,$167.72M,66,Filippo,Volkswagen
483,3/28/2022,Youtags,$998.43M,15,Iain,Pontiac
484,2/9/2022,Eire,$222.28M,7,Ber,BMW
485,1/2/2022,Zoomdog,$6.42B,91,Gustaf,Mazda
486,9/6/2021,Skyble,,30,Lou,Ford
487,1/26/2022,Skyble,$4.43B,94,Jeth,GMC
488,5/15/2022,Dabjam,$9.55B,65,Kerr,Dodge
489,12/5/2021,Ntags,$7.22B,54,Clyde,Lotus
490,9/20/2021,Skinder,$415.27M,97,Jehu,Kia
491,7/18/2021,Twimbo,$1.35B,82,Neal,Buick
492,2/23/2022,Innotype,$335.5M,86,Dallas,Pontiac
493,1/24/2022,Camimbo,$743.72M,34,Brian,Toyota
494,1/15/2022,Katz,$1.9B,38,Hayden,Mitsubishi
495,5/31/2022,Bubbletube,$203.67M,45,Field,Chevrolet
496,5/16/2022,Flipstorm,$324.08M,26,Bear,Dodge
497,5/7/2022,Pixonyx,$35.52M,89,Arlen,GMC
498,9/25/2021,Thoughtstorm,$180.9M,81,Shae,Audi
499,5/29/2022,Photofeed,$32.65B,45,Jody,Chevrolet
