fecha,Sucursal,precio,cantidad,cliente,Vehiculo
8/16/2021,Blogtag,$3.37B,6,Andreas,Nissan
7/30/2021,Rhynoodle,$1.64B,72,Ximenes,Lincoln
8/18/2021,Einti,$125.85M,91,Hershel,Pontiac
1/12/2022,Innotype,$372.55M,1,Noland,Dodge
6/2/2022,Trunyx,$4.06B,48,Rafferty,Ford
1/29/2022,Gigashots,n/a,9,Rocky,Pontiac
10/29/2021,Topicstorm,$79.68M,72,Gustavus,GMC
3/16/2022,Avamm,$781.49M,90,Kermit,Ford
1/6/2022,Pixope,$581.41M,26,Justen,Mitsubishi
12/23/2021,Chatterbridge,n/a,98,Orton,Ford
4/27/2022,Skibox,$257.8M,99,Karim,Toyota
3/27/2022,Tagfeed,n/a,30,Son,Chevrolet
5/21/2022,Dynazzy,n/a,85,Chip,Cadillac
11/15/2021,Podcat,n/a,36,Peder,Lexus
7/31/2021,Fatz,$3.49M,44,Trip,Oldsmobile
7/23/2021,Yambee,$14.6B,87,Nilson,GMC
7/8/2021,Skyvu,$200.51M,90,Francesco,Volvo
4/12/2022,Fadeo,$402.84M,94,Carlie,Eagle
7/30/2021,Jaxbean,$251.61M,48,Tammie,Eagle
2/13/2022,Centimia,$1.73B,40,Sig,Lamborghini
7/8/2021,Trudoo,$496.77M,60,Edgardo,Pontiac
6/19/2022,Aibox,$47.31M,4,Herrick,Mazda
11/13/2021,Tanoodle,$1.29B,9,Thorndike,Ford
3/8/2022,Topiczoom,$127.36B,24,Fairlie,Volkswagen
2/9/2022,Realcube,$6.3B,80,Harold,Ford
4/6/2022,Tambee,$5.84B,100,Jeth,Pontiac
12/2/2021,Jaxbean,$555.38M,83,Townie,Kia
11/12/2021,Omba,$3.02B,16,Cris,Plymouth
3/22/2022,Yamia,$775.3M,16,Fabio,GMC
6/1/2022,Wikido,$45.78M,56,Norby,Toyota
3/23/2022,Flashspan,$32.29M,26,Chet,Chevrolet
2/9/2022,Gigaclub,n/a,18,Winston,Hyundai
9/16/2021,LiveZ,$167.72M,66,Filippo,Volkswagen
3/28/2022,Youtags,$998.43M,15,Iain,Pontiac
2/9/2022,Eire,$222.28M,7,Ber,BMW
1/2/2022,Zoomdog,$6.42B,91,Gustaf,Mazda
9/6/2021,Skyble,n/a,30,Lou,Ford
1/26/2022,Skyble,$4.43B,94,Jeth,GMC
5/15/2022,Dabjam,$9.55B,65,Kerr,Dodge
12/5/2021,Ntags,$7.22B,54,Clyde,Lotus
9/20/2021,Skinder,$415.27M,97,Jehu,Kia
7/18/2021,Twimbo,$1.35B,82,Neal,Buick
2/23/2022,Innotype,$335.5M,86,Dallas,Pontiac
1/24/2022,Camimbo,$743.72M,34,Brian,Toyota
1/15/2022,Katz,$1.9B,38,Hayden,Mitsubishi
5/31/2022,Bubbletube,$203.67M,45,Field,Chevrolet
5/16/2022,Flipstorm,$324.08M,26,Bear,Dodge
5/7/2022,Pixonyx,$35.52M,89,Arlen,GMC
9/25/2021,Thoughtstorm,$180.9M,81,Shae,Audi
5/29/2022,Photofeed,$32.65B,45,Jody,Chevrolet
